Activity List,Goals,Time_of_Day,Title,Description,Profession Tags,Depression_Effectiveness_Score,Recommendation,Difficulty_Level,Recommended Day Range,Energy Level,Male/Female,Weekend/Weekday
Call or message a friend or family member you haven't talked to in a while.,Social Stress,Work Hours,Call or message a friend or family member you haven't talked...,Connecting with others helps reduce loneliness and increases emotional support.,"job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Dance to your favorite music,Cognitive Impact,Evening,Dance to your favorite music,"Dancing lifts your mood, energizes your body, and provides a joyful outlet for stress.","job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,Low,Both,Weekday
Take a bubble bath or practice another relaxing self-care activity.,General Stress,Work Hours,Take a bubble bath or practice another relaxing self-care ac...,Warm baths soothe tired muscles and provide a calming sensory experience.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,High,Both,Weekday
"Eating a healthy lunch or dinner with closed ones, it Enhances emotional well-being.",Physical Stress,Morning,"Eating a healthy lunch or dinner with closed ones, it Enhanc...",This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Medium,Both,Weekday
Wake up and write down three things you want to accomplish today,Balance,Work Break,Wake up and write down three things you want to accomplish today,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,High,Both,Weekday
Practice 20 minutes of mindfulness meditation,General Stress,Morning,Practice 20 minutes of mindfulness meditation,"Practicing 10 minutes of mindfulness calms the mind, lowers stress hormones, and enhances focus.","job_holder, student, homemaker, business_owner",4,Optional,4,21-30,Medium,Both,Weekday
Take a 30-minute walk or try a new physical activity,Physical Stress,Evening,Take a 30-minute walk or try a new physical activity,Mindful walking allows physical release of tension and improves stress coping.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Low,Both,Weekday
Contribute your time and skills to help others in need,Coping,Morning,Contribute your time and skills to help others in need,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,Low,Both,Weekday
Spend 30 minutes learning a new skill or hobby,Stress Load,Work Hours,Spend 30 minutes learning a new skill or hobby,Learning a new skill activates your brain and builds a sense of accomplishment.,"job_holder, student, homemaker, business_owner",4,Optional,4,21-30,Medium,Both,Weekday
Try aromatherapy with essential oils.,Balance,Work Hours,Try aromatherapy with essential oils.,Aromatherapy with essential oils can trigger relaxation and reduce mental fatigue.,"job_holder, student, homemaker, business_owner",4,Recommended,3,21-30,Medium,Both,Weekday
Wake up and do a quick yoga or stretching session,Physical Stress,Work Hours,Wake up and do a quick yoga or stretching session,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",4,Recommended,3,21-30,High,Both,Weekday
Practice a 10-minute guided visualization or affirmation exercise,Balance,Work Break,Practice a 10-minute guided visualization or affirmation exercise,Visualization and affirmations promote confidence and mental peace.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Do a social media detox for the day,Stress Load,Work Break,Do a social media detox for the day,Taking a break from social media clears mental clutter and refreshes focus.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Low,Both,Weekday
Cook a healthy snack or dessert,Coping,Evening,Cook a healthy snack or dessert,Preparing healthy snacks fosters mindfulness and nurtures your body.,"job_holder, student, homemaker, business_owner",3,Essential,1,01-Jul,Medium,Both,Weekday
Watch a new movie or TV show,Balance,Work Hours,Watch a new movie or TV show,Watching something uplifting boosts serotonin and improves emotional well-being.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,Low,Both,Weekday
Engage in a creative activity like drawing or coloring.,Work Stress,Work Break,Engage in a creative activity like drawing or coloring.,Creative expression provides emotional release and encourages present-moment focus.,"job_holder, student, homemaker, business_owner",4,Optional,4,21-30,Low,Both,Weekday
Wake up and write down three things that make you feel happy or fulfilled,Cognitive Impact,Work Hours,Wake up and write down three things that make you feel happy...,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Low,Both,Weekday
Practice 15 minutes of yoga or stretching.,Balance,Work Break,Practice 15 minutes of yoga or stretching.,"Stretching and yoga improve flexibility, reduce muscle tension, and calm the nervous system.","job_holder, student, homemaker, business_owner",5,Optional,4,21-30,High,Both,Weekday
Practice PMR by tensing and then relaxing different muscle groups.,Physical Stress,Evening,Practice PMR by tensing and then relaxing different muscle g...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,High,Both,Weekday
Write a letter to someone you admire,Cognitive Impact,Evening,Write a letter to someone you admire,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",4,Recommended,3,21-30,Low,Both,Weekday
Spend 30 minutes decluttering or organizing your space.,Cognitive Impact,Work Break,Spend 30 minutes decluttering or organizing your space.,"Decluttering clears your environment, which can reduce mental overwhelm.","job_holder, student, homemaker, business_owner",3,Optional,4,21-30,Medium,Both,Weekday
Practice mindful walking by focusing on each step and sensation while walking in nature or outside.,Physical Stress,Work Break,Practice mindful walking by focusing on each step and sensat...,Mindful walking grounds you in the present moment and helps release physical tension.,"job_holder, student, homemaker, business_owner",4,Optional,4,21-30,High,Both,Weekday
Wake up and do a quick journaling session to reflect on the week so far,Work Stress,Work Break,Wake up and do a quick journaling session to reflect on the...,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",3,Optional,4,21-30,Medium,Both,Weekday
Practice a 20-minute guided breathing exercise,Social Stress,Work Break,Practice a 20-minute guided breathing exercise,Guided breathing slows the heart rate and reduces symptoms of stress and anxiety.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Medium,Both,Weekday
Take a digital break for the day and focus on analog activities like reading or art,Coping,Evening,Take a digital break for the day and focus on analog activit...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Optional,4,21-30,Medium,Both,Weekday
Repeat a calming mantra or affirmation and cultivating a positive mindset.,Balance,Work Hours,Repeat a calming mantra or affirmation and cultivating a pos...,Visualization and affirmations promote confidence and mental peace.,"job_holder, student, homemaker, business_owner",5,Essential,1,01-Jul,Low,Both,Weekday
"Spend 30 minutes doing a creative activity like writing, drawing.",Stress Load,Work Hours,"Spend 30 minutes doing a creative activity like writing, drawing.",Creative expression provides emotional release and encourages present-moment focus.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,High,Both,Weekday
"Listen to calming sounds such as ocean waves, rain, or white noise",General Stress,Work Break,"Listen to calming sounds such as ocean waves, rain, or white...",This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",4,Recommended,3,21-30,Medium,Both,Weekday
Practice 15 minutes of yoga or stretching,General Stress,Evening,Practice 15 minutes of yoga or stretching,"Stretching and yoga improve flexibility, reduce muscle tension, and calm the nervous system.","job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Do one task you've been putting off,Cognitive Impact,Evening,Do one task you've been putting off,Completing a delayed task clears mental clutter and creates a sense of accomplishment.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,High,Both,Weekday
Take a 30-minute walk or try a new physical activity,Physical Stress,Work Hours,Take a 30-minute walk or try a new physical activity,Mindful walking allows physical release of tension and improves stress coping.,"job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,Low,Both,Weekday
Spend 30 minutes planning a fun activity for the weekend,Work Stress,Morning,Spend 30 minutes planning a fun activity for the weekend,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Take a bubble bath or practice another relaxing self-care activity.,General Stress,Evening,Take a bubble bath or practice another relaxing self-care ac...,Warm baths soothe tired muscles and provide a calming sensory experience.,"job_holder, student, homemaker, business_owner",3,Recommended,3,21-30,Medium,Both,Weekday
Contribute your time and skills to help others in need,Physical Stress,Evening,Contribute your time and skills to help others in need,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,Low,Both,Weekday
Wake up and do a quick gratitude meditation or visualization,General Stress,Work Hours,Wake up and do a quick gratitude meditation or visualization,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,High,Both,Weekday
Listen to a new podcast or read a book for 30 minutes,Social Stress,Evening,Listen to a new podcast or read a book for 30 minutes,Listening or reading engages your mind and helps shift focus away from stressors.,"job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Take a 20-minute nap or rest,Work Stress,Work Hours,Take a 20-minute nap or rest,"Short naps recharge your brain, improving clarity and lowering irritability.","job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,Low,Both,Weekday
Take a warm bath with Epsom salts.,Cognitive Impact,Work Hours,Take a warm bath with Epsom salts.,Warm baths soothe tired muscles and provide a calming sensory experience.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Medium,Both,Weekday
Cook a healthy breakfast/lunch/dinner.,Balance,Work Break,Cook a healthy breakfast/lunch/dinner.,"Preparing a nourishing breakfast boosts your mood, energy, and reduces morning stress.","job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Low,Both,Weekday
Go for a bike ride or jog,Social Stress,Work Hours,Go for a bike ride or jog,Physical activities like biking or jogging increase endorphins and reduce stress levels.,"job_holder, student, homemaker, business_owner",3,Recommended,3,21-30,Medium,Both,Weekday
Wake up and write down three things you want to let go of,Physical Stress,Work Hours,Wake up and write down three things you want to let go of,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",3,Recommended,3,21-30,High,Both,Weekday
Practice 20 minutes of mindfulness meditation,General Stress,Work Hours,Practice 20 minutes of mindfulness meditation,"Practicing 10 minutes of mindfulness calms the mind, lowers stress hormones, and enhances focus.","job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,High,Both,Weekday
Take a 30-minute walk or try a new physical activity,Physical Stress,Work Hours,Take a 30-minute walk or try a new physical activity,Mindful walking allows physical release of tension and improves stress coping.,"job_holder, student, homemaker, business_owner",3,Essential,1,01-Jul,High,Both,Weekday
"Eating a healthy lunch or dinner with closed ones, it Enhances emotional well-being",Work Stress,Morning,"Eating a healthy lunch or dinner with closed ones, it Enhanc...",This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Essential,1,01-Jul,Medium,Both,Weekday
Spend 30 minutes practicing a new language or learning about a new culture.,Social Stress,Work Break,Spend 30 minutes practicing a new language or learning about...,Learning a new skill activates your brain and builds a sense of accomplishment.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Reach out with a short gratitude message to someone supportive,Social Stress,Work Break,Send a Gratitude Message to Someone You Trust,Expressing appreciation strengthens emotional bonds and reduces social stress. A kind message can uplift both you and the recipient.,"job_holder, student, homemaker, business_owner",5,Optional,4,21-30,Medium,Both,Weekday
Wake up and do a quick journaling session to reflect on your self-care routine so far,Physical Stress,Work Break,Wake up and do a quick journaling session to reflect on your...,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",5,Essential,1,01-Jul,Medium,Both,Weekday
Practice a 10-minute guided visualization or affirmation exercise,General Stress,Work Hours,Practice a 10-minute guided visualization or affirmation exercise,Visualization and affirmations promote confidence and mental peace.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,High,Both,Weekday
Take a 30-minute break to read or watch something inspiring or motivating,Social Stress,Work Break,Take a 30-minute break to read or watch something inspiring...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Essential,1,01-Jul,High,Both,Weekday
Try aromatherapy with essential oils.,Cognitive Impact,Work Hours,Try aromatherapy with essential oils.,Aromatherapy with essential oils can trigger relaxation and reduce mental fatigue.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Medium,Both,Weekday
"Spend 30 minutes doing something that challenges you, like a puzzle or game",Cognitive Impact,Work Hours,"Spend 30 minutes doing something that challenges you, like a...",This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,High,Both,Weekday
"Treat yourself to a DIY spa day with facials, massages, and relaxing baths at home",Physical Stress,Work Break,"Treat yourself to a DIY spa day with facials, massages, and...",A self-care day with spa treatments nurtures both body and mind.,"job_holder, student, homemaker, business_owner",5,Essential,1,01-Jul,Medium,Both,Weekday
Wake up and write down three things you're looking forward to,Work Stress,Work Break,Wake up and write down three things you're looking forward to,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Practice 15 minutes of yoga or stretching,Balance,Work Hours,Practice 15 minutes of yoga or stretching,"Stretching and yoga improve flexibility, reduce muscle tension, and calm the nervous system.","job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Practice mindful walking by focusing on each step and sensation while walking.,Physical Stress,Work Hours,Practice mindful walking by focusing on each step and sensat...,Mindful walking grounds you in the present moment and helps release physical tension.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Medium,Both,Weekday
Practice PMR by tensing and then relaxing different muscle groups.,Balance,Evening,Practice PMR by tensing and then relaxing different muscle g...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,Low,Both,Weekday
Practice a 20-minute guided breathing exercise,Social Stress,Work Break,Practice a 20-minute guided breathing exercise,Guided breathing slows the heart rate and reduces symptoms of stress and anxiety.,"job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,High,Both,Weekday
Dance to your favorite music.,Social Stress,Work Hours,Dance to your favorite music.,"Dancing lifts your mood, energizes your body, and provides a joyful outlet for stress.","job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Low,Both,Weekday
Wake up and do a quick gratitude meditation or visualization,General Stress,Morning,Wake up and do a quick gratitude meditation or visualization,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,Medium,Both,Weekday
Practice a 20-minute guided breathing exercise,Physical Stress,Work Hours,Practice a 20-minute guided breathing exercise,Guided breathing slows the heart rate and reduces symptoms of stress and anxiety.,"job_holder, student, homemaker, business_owner",4,Optional,4,21-30,Medium,Both,Weekday
Take a 30-minute break to enjoy nature or be outside,Physical Stress,Work Hours,Take a 30-minute break to enjoy nature or be outside,"Being in nature improves mood, reduces anxiety, and increases mindfulness.","job_holder, student, homemaker, business_owner",4,Optional,4,21-30,Low,Both,Weekday
Cook a healthy meal with a new cuisine or recipe,Coping,Morning,Cook a healthy meal with a new cuisine or recipe,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,Low,Both,Weekday
Spend 30 minutes doing a relaxing activity like coloring or taking a bath,Cognitive Impact,Evening,Spend 30 minutes doing a relaxing activity like coloring or...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,High,Both,Weekday
Watch a funny or uplifting movie.,Physical Stress,Work Break,Watch a funny or uplifting movie.,Watching something uplifting boosts serotonin and improves emotional well-being.,"job_holder, student, homemaker, business_owner",4,Optional,4,21-30,High,Both,Weekday
Wake up and write down three things that make you feel grateful,Social Stress,Work Break,Wake up and write down three things that make you feel grateful,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,High,Both,Weekday
Practice 15 minutes of yoga or stretching,Cognitive Impact,Work Break,Practice 15 minutes of yoga or stretching,"Stretching and yoga improve flexibility, reduce muscle tension, and calm the nervous system.","job_holder, student, homemaker, business_owner",3,Optional,4,21-30,Low,Both,Weekday
Take a 30-minute walk or try a new physical activity,Physical Stress,Morning,Take a 30-minute walk or try a new physical activity,Mindful walking allows physical release of tension and improves stress coping.,"job_holder, student, homemaker, business_owner",4,Optional,4,21-30,Low,Both,Weekday
Spend 30 minutes decluttering or organizing your space.,Social Stress,Work Break,Spend 30 minutes decluttering or organizing your space.,"Decluttering clears your environment, which can reduce mental overwhelm.","job_holder, student, homemaker, business_owner",3,Recommended,3,21-30,Low,Both,Weekday
"Spend 30 minutes connecting with someone new, like a colleague or neighbor",Work Stress,Work Hours,"Spend 30 minutes connecting with someone new, like a colleag...",Spending time with others strengthens your emotional support system.,"job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Contribute your time and skills to help others in need,Physical Stress,Evening,Contribute your time and skills to help others in need,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,High,Both,Weekday
Wake up and do a quick journaling session to express your thoughts and emotions,Balance,Work Hours,Wake up and do a quick journaling session to express your th...,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",3,Essential,1,01-Jul,Low,Both,Weekday
Practice a 10-minute guided mindfulness exercise,Physical Stress,Work Hours,Practice a 10-minute guided mindfulness exercise,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Optional,4,21-30,Low,Both,Weekday
Take a digital break for the day and focus on analog activities like writing or art,General Stress,Morning,Take a digital break for the day and focus on analog activit...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,Low,Both,Weekday
Cook a healthy meal with friends or family,Cognitive Impact,Work Break,Cook a healthy meal with friends or family,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,Low,Both,Weekday
Spend 30 minutes practicing a new hobby or skill,Stress Load,Work Break,Spend 30 minutes practicing a new hobby or skill,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,High,Both,Weekday
Wake up and write down three things you want to achieve in the next week,Stress Load,Evening,Wake up and write down three things you want to achieve in t...,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,High,Both,Weekday
Practice 20 minutes of mindfulness meditation,General Stress,Evening,Practice 20 minutes of mindfulness meditation,"Practicing 10 minutes of mindfulness calms the mind, lowers stress hormones, and enhances focus.","job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Practice PMR by tensing and then relaxing different muscle groups.,Physical Stress,Evening,Practice PMR by tensing and then relaxing different muscle g...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,High,Both,Weekday
Repeat a calming mantra or affirmation and cultivating a positive mindset.,Social Stress,Evening,Repeat a calming mantra or affirmation and cultivating a pos...,Visualization and affirmations promote confidence and mental peace.,"job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,Low,Both,Weekday
Do one task you've been putting off.,Cognitive Impact,Work Hours,Do one task you've been putting off.,Completing a delayed task clears mental clutter and creates a sense of accomplishment.,"job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,Low,Both,Weekday
Write a letter to someone you admire.,Cognitive Impact,Morning,Write a letter to someone you admire.,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Essential,1,01-Jul,Low,Both,Weekday
Wake up and do a quick yoga or stretching session,Physical Stress,Work Break,Wake up and do a quick yoga or stretching session,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,Low,Both,Weekday
Practice a 10-minute guided visualization or affirmation exercise,Balance,Work Break,Practice a 10-minute guided visualization or affirmation exercise,Visualization and affirmations promote confidence and mental peace.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Medium,Both,Weekday
Take a 20-minute nap or rest,Coping,Morning,Take a 20-minute nap or rest,"Short naps recharge your brain, improving clarity and lowering irritability.","job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Do social media detox for a day.,Social Stress,Evening,Do social media detox for a day.,Taking a break from social media clears mental clutter and refreshes focus.,"job_holder, student, homemaker, business_owner",3,Recommended,3,21-30,Low,Both,Weekday
Spend 30 minutes doing something creative like writing or drawing.,General Stress,Evening,Spend 30 minutes doing something creative like writing or dr...,Creative expression provides emotional release and encourages present-moment focus.,"job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,High,Both,Weekday
Spend 30 minutes decluttering or organizing your space.,General Stress,Work Break,Spend 30 minutes decluttering or organizing your space.,"Decluttering clears your environment, which can reduce mental overwhelm.","job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,High,Both,Weekday
Wake up and write down three things you're proud of accomplishing recently,Stress Load,Morning,Wake up and write down three things you're proud of accompli...,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,Low,Both,Weekday
Go for a bike ride or jog.,Stress Load,Evening,Go for a bike ride or jog.,Physical activities like biking or jogging increase endorphins and reduce stress levels.,"job_holder, student, homemaker, business_owner",5,Recommended,3,21-30,High,Both,Weekday
Try aromatherapy with essential oils.,Stress Load,Work Break,Try aromatherapy with essential oils.,Aromatherapy with essential oils can trigger relaxation and reduce mental fatigue.,"job_holder, student, homemaker, business_owner",5,Essential,1,01-Jul,High,Both,Weekday
Eat a healthy lunch or dinner with closed ones.,Cognitive Impact,Morning,Eat a healthy lunch or dinner with closed ones.,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",5,Optional,4,21-30,High,Both,Weekday
Spend 30 minutes learning a new language or culture.,General Stress,Morning,Spend 30 minutes learning a new language or culture.,Learning a new skill activates your brain and builds a sense of accomplishment.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,Medium,Both,Weekday
Help someone in your community with a small task,Coping,Work Hours,Lend a Hand in Your Community,"Offering practical support builds a sense of purpose, boosts self-esteem, and reduces feelings of isolation and work-related stress.","job_holder, student, homemaker, business_owner",4,Optional,4,21-30,High,Both,Weekday
Wake up and and write down 3 things you are grateful for.,General Stress,Work Break,Wake up and and write down 3 things you are grateful for.,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",3,Optional,4,21-30,High,Both,Weekday
Practice a 10-minute guided breathing exercise.,Work Stress,Work Break,Practice a 10-minute guided breathing exercise.,Guided breathing slows the heart rate and reduces symptoms of stress and anxiety.,"job_holder, student, homemaker, business_owner",5,Optional,4,21-30,High,Both,Weekday
Take a 30-minute break to read or watch something inspiring or motivating,Social Stress,Morning,Take a 30-minute break to read or watch something inspiring...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",3,Recommended,3,21-30,High,Both,Weekday
"Listen to calming sounds such as ocean, rain or white noise.",Cognitive Impact,Work Break,"Listen to calming sounds such as ocean, rain or white noise.",This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",5,Essential,1,01-Jul,Low,Both,Weekday
"Treat yourself to a DIY spa day with facials, massages, and relaxing baths at home.",Balance,Evening,"Treat yourself to a DIY spa day with facials, massages, and...",A self-care day with spa treatments nurtures both body and mind.,"job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,High,Both,Weekday
Dance to your favorite music.,Physical Stress,Work Hours,Dance to your favorite music.,"Dancing lifts your mood, energizes your body, and provides a joyful outlet for stress.","job_holder, student, homemaker, business_owner",5,Essential,1,01-Jul,High,Both,Weekday
Wake up and write down three things you want to let go of.,Cognitive Impact,Work Break,Wake up and write down three things you want to let go of.,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",3,Essential,1,01-Jul,Medium,Both,Weekday
